symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
SILVER,216.63536044835752,TARGET,10,2020-01-03 10:03:00,2020-01-03 12:38:00,18.19040128496285,18.321795832990638,2.166353604483575
SILVER,-228.5802307503625,STOP_SAME,0,2020-01-03 13:15:00,2020-01-03 13:19:00,18.182329800593322,18.118481170572505,-2.1908779793525435
SILVER,-200.33711772204026,STOP_SAME,0,2020-01-03 13:30:00,2020-01-03 13:31:00,18.164293418220787,18.09225663959335,-2.008168640010298
SILVER,-215.1427057412536,STOP,4,2020-01-06 13:30:00,2020-01-06 14:37:00,18.392881081449648,18.330362399168152,-2.24681889370988
SILVER,-195.18912814659734,STOP_SAME,0,2020-01-06 15:15:00,2020-01-06 15:22:00,18.365776193124653,18.298988591920274,-2.1343456922454314
SILVER,-152.29971451832228,STOP,4,2020-01-08 07:40:00,2020-01-08 08:32:00,18.5190437640243,18.425711208491112,-1.739619356417415
SILVER,-150.607236020575,STOP,2,2020-01-08 08:30:00,2020-01-08 09:06:00,18.497023927887888,18.407868563039568,-1.782297679812767
SILVER,146.95999526113908,TARGET,1,2020-01-16 14:32:00,2020-01-16 14:47:00,17.951390681718635,18.04163046288853,1.8034205975021664
SILVER,167.23018623599708,TARGET,19,2020-01-17 21:34:00,2020-01-20 05:52:00,18.013969748039827,18.120322650546974,1.9807247885078711
SILVER,144.3693472233048,TARGET,5,2020-01-21 06:02:00,2020-01-21 07:15:00,18.085177802499167,18.165425378847054,1.6447963353735071
SILVER,219.90491702579482,TARGET_SAME,0,2020-02-03 01:00:00,2020-02-03 01:08:00,17.96755463182307,18.156216618222988,2.4255794936856017
SILVER,-247.1481119437627,STOP,14,2020-02-07 01:03:00,2020-02-07 06:28:00,17.773771681511175,17.722756957832654,-2.599947831618244
SILVER,-153.33110618473017,STOP_SAME,0,2020-02-19 14:00:00,2020-02-19 14:00:00,18.253381785044347,18.157391102358236,-1.701487607426344
SILVER,230.595999194155,TARGET,3,2020-02-21 14:18:00,2020-02-21 15:12:00,18.421115366456345,18.73874630767842,2.649027942323655
SILVER,-121.72458309679834,STOP,17,2020-02-24 19:54:00,2020-02-25 01:00:00,18.632185821290516,18.44438700028579,-1.3279836073400346
GOLD,250.20208178495398,TARGET,91,2020-02-25 20:59:00,2020-02-26 20:50:00,1635.050460669417,1685.911661104633,2.8041161773597736
GOLD,251.3318534315148,TARGET,46,2020-03-04 07:15:00,2020-03-04 18:51:00,1633.9502817885489,1663.6760760502787,2.667195467128258
SILVER,-203.9982781860393,STOP,1,2020-03-06 01:36:00,2020-03-06 01:46:00,17.392504065326882,17.325824968884024,-2.0552451116050605
SILVER,-210.37133105716754,STOP,1,2020-03-06 06:27:00,2020-03-06 06:35:00,17.338342185557035,17.27815517726545,-2.2103068953045546
GOLD,-126.34682680551222,STOP,4,2020-03-09 03:16:00,2020-03-09 04:22:00,1683.0705891633174,1668.4873030354436,-1.388884481990857
GOLD,-119.78563660573872,STOP,91,2020-03-09 05:29:00,2020-03-10 05:08:00,1671.0287920184803,1655.3098376451258,-1.3543812999189955
SILVER,-119.03160447918899,STOP_SAME,0,2020-03-20 11:20:00,2020-03-20 11:26:00,12.740115751293091,12.628318141984927,-1.3833267150008124
SILVER,-113.01933908236408,STOP,1,2020-03-20 15:53:00,2020-03-20 16:07:00,12.569771386852512,12.450466406608257,-1.3508278511198957
SILVER,-109.10882462905923,STOP_SAME,0,2020-03-20 16:00:00,2020-03-20 16:08:00,12.555103176874217,12.43265812528281,-1.3402989282065432
SILVER,223.25730102073067,TARGET,3,2020-03-24 12:30:00,2020-03-24 13:29:00,13.790008143923588,14.252361080626402,2.8180456941106566
GOLD,236.37387447585849,TARGET,32,2020-03-24 14:34:00,2020-03-24 23:32:00,1634.623686163763,1691.4543047719014,2.8244215140149933
GOLD,-126.09704700845685,STOP,3,2020-03-25 04:39:00,2020-03-25 05:25:00,1659.9506793016144,1646.6755593148343,-1.4261664243245913
GOLD,-118.01807364611507,STOP,8,2020-03-25 05:47:00,2020-03-25 07:46:00,1655.9312383222234,1641.0800785816896,-1.3739832457877976
SILVER,-130.49112057604995,STOP,2,2020-03-25 07:24:00,2020-03-25 07:50:00,14.478295022218887,14.380590743389938,-1.5191962371220245
SILVER,-122.38793517845055,STOP,1,2020-03-26 00:59:00,2020-03-26 01:00:00,14.569936536765828,14.470502157298306,-1.5123688898558545
SILVER,-130.51347816668275,STOP_SAME,0,2020-03-26 07:18:00,2020-03-26 07:20:00,14.491132861144743,14.41136324009455,-1.6630814843609503
GOLD,-150.92381415736972,STOP,16,2020-04-03 01:00:00,2020-04-03 06:47:00,1630.8264896634605,1624.2669720536717,-1.989330680593556
SILVER,-137.4086934075129,STOP,24,2020-04-03 00:50:00,2020-04-03 08:42:00,14.561886244534849,14.493674396865178,-1.8111875259845531
GOLD,164.10219030518775,TARGET,32,2020-04-05 22:09:00,2020-04-06 06:40:00,1641.0210400309275,1656.0297711294559,2.3409734394901003
GOLD,-132.60387906283944,STOP,2,2020-04-07 06:53:00,2020-04-07 07:28:00,1707.8480671791117,1699.815744495467,-1.8070349241453592
GOLD,-124.39323007299654,STOP_SAME,0,2020-04-07 07:25:00,2020-04-07 07:28:00,1707.3523138926962,1698.9206407374434,-1.7587067070079052
SILVER,-124.0626159505149,STOP_SAME,0,2020-04-08 14:20:00,2020-04-08 14:23:00,15.269866554008951,15.198804239243792,-1.8179782000063138
GOLD,-141.7343775537375,STOP,9,2020-04-08 14:24:00,2020-04-08 16:42:00,1681.0926897279583,1674.7435129363482,-2.0769351557679254
SILVER,-82.41013476978229,STOP_SAME,0,2020-04-13 01:40:00,2020-04-13 01:41:00,15.687626517843222,15.521119385496505,-1.3096327380618753
GOLD,-112.55463627269376,STOP,4,2020-04-13 01:40:00,2020-04-13 02:40:00,1730.6739342585279,1722.385465498023,-1.7886785028947212
GOLD,-119.92516125249865,STOP_SAME,0,2020-04-14 00:31:00,2020-04-14 00:31:00,1760.3377741076097,1753.4754228755921,-2.031705394367649
GOLD,-117.5194002061344,STOP,2,2020-04-14 08:54:00,2020-04-14 09:16:00,1765.4771442947251,1758.8017093556796,-2.075275288475359
SILVER,155.03532632172468,TARGET,15,2020-04-14 08:54:00,2020-04-14 12:32:00,15.84179587645181,16.208460391388645,2.737769091672015
GOLD,-115.59346673486883,STOP_SAME,0,2020-04-15 22:00:00,2020-04-15 22:00:00,1739.7783766437497,1732.9111888203056,-2.0145723915153813
GOLD,129.07114808144144,TARGET,28,2020-04-15 22:47:00,2020-04-16 06:18:00,1739.2213587752008,1755.1995483381152,2.3439017180223716
GOLD,-103.15947314439816,STOP,1,2020-04-22 12:00:00,2020-04-22 12:19:00,1711.416468086699,1703.226671953721,-1.7894651800929742
GOLD,-98.2277378422567,STOP_SAME,0,2020-04-22 12:18:00,2020-04-22 12:19:00,1710.83059016625,1702.455808894437,-1.7671618782587766
GOLD,131.83469708162383,TARGET,4,2020-04-23 13:11:00,2020-04-23 14:04:00,1742.9529709894716,1762.3789600455852,2.4586635582502994
GOLD,-97.33211512525028,STOP,1,2020-04-24 13:50:00,2020-04-24 14:02:00,1747.8786984777753,1738.978175707396,-1.730128347016999
SILVER,-67.91192294630324,STOP,75,2020-04-23 17:26:00,2020-04-24 15:47:00,15.329468583868055,15.094569040101083,-1.207169317533428
SILVER,-89.14381586974947,STOP,5,2020-04-29 09:25:00,2020-04-29 10:32:00,15.374303488212696,15.291732665504227,-1.6834744316521582
SILVER,-72.75812846014261,STOP_SAME,0,2020-04-29 14:59:00,2020-04-29 14:59:00,15.389652706645656,15.265494985959903,-1.4219068002539892
SILVER,-76.4537008007085,STOP_SAME,0,2020-04-30 12:30:00,2020-04-30 12:37:00,15.586346479140117,15.484262649132376,-1.5378630599454728
GOLD,128.48030088282204,TARGET,120,2020-05-04 12:35:00,2020-05-06 00:05:00,1705.0642702383902,1736.0079344909677,2.6663867430202814
SILVER,-79.62995288049372,STOP,13,2020-05-06 17:05:00,2020-05-06 20:45:00,15.065773875386968,14.971647088415173,-1.568915434670739
SILVER,-72.21148245435332,STOP,1,2020-05-08 12:43:00,2020-05-08 12:49:00,15.711535219080165,15.595849906631681,-1.4688422198919575
GOLD,-62.08683900331155,STOP,81,2020-05-08 12:49:00,2020-05-11 10:26:00,1712.9867465515351,1694.3428253400198,-1.3011213042144703
SILVER,-109.28652939158488,STOP,2,2020-05-12 12:34:00,2020-05-12 13:08:00,15.737509311882848,15.686935202057976,-2.3514509044569287
SILVER,-104.1817481842471,STOP_SAME,0,2020-05-12 13:07:00,2020-05-12 13:08:00,15.735385549316883,15.684838506804594,-2.352237912402184
SILVER,-63.43163009156108,STOP,2,2020-05-18 12:21:00,2020-05-18 12:59:00,17.619143125922843,17.49696932301021,-1.5028753932799552
SILVER,-59.51636871311238,STOP_SAME,0,2020-05-18 12:57:00,2020-05-18 12:59:00,17.608444505853,17.475096880889637,-1.453809630573024
SILVER,105.84041805598817,TARGET,17,2020-05-19 19:57:00,2020-05-20 01:09:00,17.783655349606946,18.10292496010072,2.662793647154201
SILVER,-80.23287673782514,STOP,1,2020-05-20 07:34:00,2020-05-20 07:47:00,18.017590454013295,17.940801045767934,-1.9164806565159316
SILVER,101.1506334010718,TARGET,2,2020-05-20 11:30:00,2020-05-20 12:00:00,17.91365027168626,18.135460338347944,2.5124327157113506
