asset,pnl,exit_reason,entry_time,exit_time,entry_price,exit_price,r_multiple,risk_used
SILVER,-43.90848676054887,STOP,2020-01-06 05:37:00,2020-01-06 07:47:00,18.422689666521517,18.285726186824114,-1.463616225351629,30.0
US500,-0.7049826047415984,TARGET,2020-01-06 14:16:00,2020-01-06 14:46:00,3218.217117531138,3224.5097741878612,-0.02384847023795413,29.560915132394513
SILVER,-44.94228669988466,STOP,2020-01-06 09:30:00,2020-01-06 15:23:00,18.402803672286023,18.278844733835683,-1.5203279904766676,29.560915132394513
US500,-95.83510133879153,STOP,2020-01-07 06:02:00,2020-01-07 07:31:00,3248.9794457842804,3241.488723750698,-3.2927997689186315,29.10444243934825
GOLD,55.243630417476055,TARGET,2020-01-06 04:30:00,2020-01-07 23:24:00,1578.7800226836414,1619.120459992287,0.9207271736246009,60.0
SILVER,-36.328843040497844,STOP,2020-01-08 01:45:00,2020-01-08 12:58:00,18.56423703079991,18.338046107967326,-1.2658782841445375,28.698527730135098
US500,5.674948029252015,TARGET,2020-01-08 13:53:00,2020-01-08 14:54:00,3238.3601589660443,3246.4690214891602,0.20027881074948486,28.33523929973012
US500,6.951712094045316,TARGET,2020-01-08 15:44:00,2020-01-08 16:29:00,3240.9009662387853,3249.495784039449,0.2448476627652349,28.39198878002264
US500,6.532021389593174,TARGET,2020-01-08 20:49:00,2020-01-08 23:53:00,3257.2612761982205,3265.7272333373317,0.22950371678584092,28.461505900963093
GOLD,-63.394267086749544,STOP,2020-01-08 01:45:00,2020-01-09 06:37:00,1593.3002804788186,1546.8789635159253,-1.1044863987949796,57.397055460270195
US500,0.3020663849876435,TARGET,2020-01-09 03:02:00,2020-01-09 07:13:00,3261.9932359367235,3268.5937143869505,0.010588853585443333,28.526826114859023
US500,-12.7426490899342,TARGET,2020-01-09 10:54:00,2020-01-09 13:45:00,3268.9397243046187,3273.430665114766,-0.4567928338394418,27.895904107841403
US500,-10.39463682469852,TARGET,2020-01-09 14:14:00,2020-01-09 15:50:00,3269.933565437127,3274.6956083516657,-0.37433225429530065,27.76847761694206
US500,-75.26814390284036,STOP,2020-01-09 16:26:00,2020-01-09 17:40:00,3270.5438628129964,3261.585561008214,-2.7207453192032935,27.664531248695077
GOLD,44.722686474987285,TARGET,2020-01-10 04:30:00,2020-01-10 07:59:00,1549.7416332164837,1568.181133939537,0.8309106730174118,53.82369961933335
US500,-101.5340126193846,STOP,2020-01-10 07:34:00,2020-01-10 08:39:00,3282.787306546698,3276.309118568062,-4.075935526054313,26.911849809666673
GOLD,45.69583396867681,TARGET,2020-01-10 08:07:00,2020-01-10 12:04:00,1551.3767287675864,1570.3089867035778,0.835112867887953,54.71815334883309
GOLD,46.630210971079485,TARGET_SAME,2020-01-13 00:00:00,2020-01-13 00:09:00,1560.8453651410393,1585.034029980765,0.8699440661166524,53.60138977581894
SILVER,13.255807282791542,TARGET,2020-01-12 23:00:00,2020-01-13 03:18:00,18.100865747966726,18.172638593242805,0.494606850241469,26.80069488790947
SILVER,-50.35677783494492,STOP,2020-01-13 04:13:00,2020-01-13 07:06:00,18.073891124093798,17.991343492716634,-1.837868450982888,27.399555070448177
US500,-95.21865509422588,STOP,2020-01-13 13:52:00,2020-01-13 14:32:00,3275.305873693491,3268.170678350539,-3.540255059616212,26.89598729209873
US500,-86.11511084952518,STOP,2020-01-14 03:00:00,2020-01-14 07:22:00,3291.145582182816,3283.606685873377,-3.3192943358108185,25.94380074115647
SILVER,-44.25165070274802,STOP_SAME,2020-01-15 03:43:00,2020-01-15 03:43:00,17.828157830466424,17.740620832536493,-1.764233498088097,25.08264963266122
SILVER,15.558452578928286,TARGET,2020-01-15 08:28:00,2020-01-15 08:55:00,17.854191660515223,17.951338109968194,0.6314272938218196,24.64013312563374
US500,-10.566419817313907,TARGET,2020-01-15 08:12:00,2020-01-15 11:46:00,3282.6889737912575,3287.2871259020594,-0.42882965621323693,24.64013312563374
SILVER,-44.514657099780905,STOP,2020-01-15 12:01:00,2020-01-15 13:13:00,17.860229650007987,17.77589315204649,-1.802938871074885,24.69005345324988
US500,-84.19719448774475,STOP,2020-01-15 12:34:00,2020-01-15 13:50:00,3284.735273772995,3277.370772850003,-3.41016655339246,24.69005345324988
SILVER,12.101676320783216,TARGET,2020-01-16 01:01:00,2020-01-16 02:05:00,18.00547835172899,18.08020550736502,0.5171007975353027,23.402934937374624
SILVER,11.504346029214467,TARGET_SAME,2020-01-16 02:02:00,2020-01-16 02:05:00,18.00810544833132,18.078732143394763,0.48904819120716087,23.523951700582458
US500,-1.9905920607707586,TARGET,2020-01-16 01:36:00,2020-01-16 08:00:00,3294.6633550744828,3300.741748065172,-0.08505736849234971,23.402934937374624
US500,-16.44648807609656,TARGET,2020-01-16 12:56:00,2020-01-16 14:29:00,3302.933617331887,3306.830144240983,-0.6963218568164704,23.619089240266895
SILVER,-51.438381518433886,STOP,2020-01-16 13:29:00,2020-01-16 14:37:00,17.984204630138663,17.92055223493566,-2.177830863636325,23.619089240266895
SILVER,9.203860762207082,TARGET,2020-01-16 14:32:00,2020-01-16 14:47:00,17.98147060877527,18.04163046288853,0.40121029875100056,22.940240544321593
