symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,pullback_candles,stop_ticks,r_multiple
GOLD,-1208.1546084860079,STOP,1,2013-07-09 14:13:00,2013-07-09 14:30:00,1255.0538,1251.1476,2,26.537999999998192,-2.416309216972016
GOLD,-1505.2921440923267,STOP_SAME_15M,0,2013-07-19 15:22:00,2013-07-19 15:29:00,1295.5942999999997,1292.5062,2,17.942999999997937,-3.163462353006947
GOLD,-1252.8499650978206,STOP,1,2013-08-16 13:27:00,2013-08-16 13:30:00,1373.2719,1369.629,3,22.718999999999596,-2.810775518288731
GOLD,353.5665885158419,TARGET,2,2013-08-20 13:57:00,2013-08-20 14:15:00,1372.0707,1376.8120999999999,2,23.706999999999425,0.8404763150124157
GOLD,-1329.9644524436762,STOP_SAME_15M,0,2013-08-27 14:30:00,2013-08-27 14:32:00,1423.5220999999997,1420.0785,3,20.22099999999682,-3.1092431630486095
GOLD,-1226.1702040254518,STOP_SAME_15M,0,2013-09-18 17:19:00,2013-09-18 17:27:00,1310.7094,1307.4912,2,19.09400000000005,-3.056667330051329
GOLD,-514.6840804689025,STOP,1,2013-09-25 14:25:00,2013-09-25 14:37:00,1326.5251999999998,1322.676,2,25.251999999998134,-2.573420402344512
GOLD,-453.6155000000046,STOP,11,2013-10-17 15:39:00,2013-10-18 00:35:00,1321.32,1316.8818,2,31.19999999999891,-2.268077500000023
GOLD,-686.409825313782,STOP,1,2013-11-14 14:43:00,2013-11-14 14:45:00,1286.9857,1284.1146,2,15.856999999998607,-3.43204912656891
GOLD,129.312651646433,TARGET,3,2013-11-25 19:14:00,2013-11-25 19:52:00,1247.6463999999999,1251.3391999999997,2,18.463999999999032,0.6465632582321651
GOLD,156.42770333281055,TARGET_SAME_15M,0,2013-12-06 14:00:00,2013-12-06 14:03:00,1238.5372999999997,1242.6118999999992,2,20.37299999999732,0.7821385166640528
GOLD,-470.59264813461425,STOP_SAME_15M,0,2013-12-06 15:16:00,2013-12-06 15:24:00,1235.234,1231.2675,2,27.339999999999236,-2.352963240673071
GOLD,-651.8902744372554,STOP_SAME_15M,0,2014-01-02 15:11:00,2014-01-02 15:12:00,1222.7214999999999,1219.8789,4,16.21499999999969,-3.259451372186277
GOLD,-329.139229696764,STOP,1,2014-01-03 06:50:00,2014-01-03 07:21:00,1239.2379999999998,1232.2665,2,57.37999999999829,-1.64569614848382
GOLD,-518.5785836032262,STOP_SAME_15M,0,2014-01-06 15:13:00,2014-01-06 15:14:00,1248.0467999999998,1244.4543,3,23.467999999998028,-2.592892918016131
GOLD,-719.7058107656324,STOP_SAME_15M,0,2014-02-12 17:25:00,2014-02-12 17:26:00,1296.7955,1294.0047,3,14.954999999999927,-3.5985290538281616
GOLD,-689.7404872674197,STOP,1,2014-02-27 18:10:00,2014-02-27 18:20:00,1334.9335999999998,1331.9667,3,16.335999999998876,-3.4487024363370984
SILVER,221.4715665593232,TARGET,1,2014-04-04 12:37:00,2014-04-04 12:54:00,20.055034999999997,20.145104999999987,3,9.00699999999901,1.1073578327966158
GOLD,-610.8083188908682,STOP_SAME_15M,0,2014-04-25 14:36:00,2014-04-25 14:40:00,1305.4040999999997,1302.1965,2,19.04099999999744,-3.054041594454341
SILVER,-355.2044943820292,STOP,1,2014-06-20 14:22:00,2014-06-20 14:31:00,21.010989999999996,20.90907,2,16.19799999999927,-1.776022471910146
GOLD,-593.0369527749813,STOP_SAME_15M,0,2014-07-01 13:34:00,2014-07-01 13:40:00,1332.0306999999996,1328.67,3,20.306999999995696,-2.9651847638749063
GOLD,-401.09383895946087,STOP_SAME_15M,0,2014-07-29 07:47:00,2014-07-29 07:57:00,1314.6132999999998,1309.3893,2,39.13299999999708,-2.0054691947973042
GOLD,-570.6866036474844,STOP_SAME_15M,0,2014-08-01 13:15:00,2014-08-01 13:18:00,1295.8945999999999,1292.5062,4,20.945999999999003,-2.853433018237422
SILVER,-397.51982570805706,STOP_SAME_15M,0,2014-08-26 12:33:00,2014-08-26 12:34:00,19.68967,19.61037,2,11.934000000000111,-1.9875991285402852
GOLD,-396.99510003873934,STOP_SAME_15M,0,2014-09-05 12:33:00,2014-09-05 12:36:00,1274.7734999999998,1269.6291,2,38.734999999996944,-1.9849755001936966
GOLD,-625.4144227973492,STOP_SAME_15M,0,2014-09-22 16:05:00,2014-09-22 16:08:00,1220.7195,1217.781,2,17.194999999999254,-3.127072113986746
GOLD,-593.5824661929805,STOP_SAME_15M,0,2014-11-07 13:00:00,2014-11-07 13:03:00,1146.3452,1143.4553999999998,2,17.45200000000068,-2.9679123309649027
GOLD,-346.2427671307348,STOP,1,2014-11-07 13:33:00,2014-11-07 13:46:00,1151.2500999999997,1145.6532,2,44.50099999999793,-1.7738485202580045
SILVER,-353.29832404916607,STOP_SAME_15M,0,2014-11-21 13:15:00,2014-11-21 13:15:00,16.56655,16.49349,3,11.309999999999576,-1.876570114942566
GOLD,-316.2610566947877,STOP,15,2014-11-21 13:09:00,2014-11-21 16:51:00,1206.1049,1199.5991999999999,2,53.04900000000089,-1.679843936737735
