symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price
GOLD,248.51458596159478,TARGET,1,2013-07-11 12:20:00,2013-07-11 12:31:00,1281.3077406376892,1288.0922882992493
GOLD,-425.80722545643624,STOP,8,2013-07-11 13:06:00,2013-07-11 15:02:00,1281.4503819752654,1276.7744953523277
GOLD,-561.0101649415054,STOP_SAME_15M,0,2013-07-16 15:48:00,2013-07-16 15:49:00,1288.3365197936405,1284.970398225172
GOLD,186.9320624971828,TARGET,1,2013-07-18 14:24:00,2013-07-18 14:38:00,1280.5085193857217,1285.688399393079
GOLD,-595.6408574285697,STOP_SAME_15M,0,2013-07-24 12:20:00,2013-07-24 12:20:00,1340.2679690459402,1337.0635166521456
GOLD,-461.7364338595391,STOP,12,2013-07-29 14:01:00,2013-07-30 00:00:00,1329.89429643672,1326.0893322404436
GOLD,-490.13035962333186,STOP,4,2013-08-09 06:00:00,2013-08-09 09:17:00,1307.7957611987972,1304.4498942575162
GOLD,131.59267943641038,TARGET,1,2013-08-12 08:07:00,2013-08-12 10:53:00,1327.5307713845027,1332.0878266427612
GOLD,-477.65785307046644,STOP,1,2013-08-14 12:53:00,2013-08-14 13:06:00,1322.3309199729224,1319.0028680433059
GOLD,-533.9431065805537,STOP,2,2013-08-15 11:09:00,2013-08-15 12:30:00,1337.4743058335368,1334.5565551507038
GOLD,158.06578369421737,TARGET,7,2013-08-16 13:50:00,2013-08-16 18:15:00,1362.9413995293278,1369.1908883092551
GOLD,-440.4553967174668,STOP,1,2013-08-21 01:19:00,2013-08-21 05:36:00,1370.7621480070518,1367.4070271114604
GOLD,120.3766842456743,TARGET,3,2013-08-22 17:28:00,2013-08-23 04:51:00,1371.053304511973,1376.017162635675
GOLD,202.90872654503087,TARGET,10,2013-08-27 18:08:00,2013-08-28 06:22:00,1415.4155904917295,1426.3269155024361
GOLD,-359.43982127963034,STOP_SAME_15M,0,2013-08-28 13:19:00,2013-08-28 13:21:00,1423.9337739681298,1419.7519663480016
GOLD,-304.22847969787654,STOP,1,2013-08-28 14:01:00,2013-08-28 14:39:00,1422.1695256814749,1417.396311566942
SILVER,-296.52922691046774,STOP,2,2013-09-03 18:29:00,2013-09-04 05:00:00,24.361774133003543,24.28208640307709
SILVER,168.05265554788204,TARGET,4,2013-09-11 12:44:00,2013-09-11 13:58:00,23.043521237300993,23.19196688261992
GOLD,-380.013031917249,STOP,16,2013-09-11 14:30:00,2013-09-12 03:09:00,1361.3698213667103,1358.0017000518792
GOLD,-277.7327840584586,STOP,1,2013-09-19 13:58:00,2013-09-19 14:00:00,1364.4017522716972,1360.0310387575519
SILVER,-195.53852660069742,STOP,8,2013-09-19 17:59:00,2013-09-19 19:56:00,23.156587608583475,23.04019578050921
GOLD,-372.6771250733776,STOP_SAME_15M,0,2013-09-25 12:33:00,2013-09-25 12:34:00,1321.8885718141735,1318.945006258137
GOLD,70.06511686658594,TARGET,6,2013-09-25 12:57:00,2013-09-25 14:25:00,1321.1320886888836,1325.1863592294467
