pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple,stop_dist_atr
599.9999999999973,TARGET,92,2020-02-25 20:59:00,2020-02-26 20:50:00,1635.050460669417,1685.911661104633,2.9999999999999862,1.0000000000000056
635.9999999999998,TARGET,46,2020-03-04 07:15:00,2020-03-04 18:51:00,1633.9502817885489,1663.6760760502787,2.9999999999999996,0.9999999999999968
-224.71999999999994,STOP,8,2020-03-06 13:29:00,2020-03-06 15:23:00,1675.604239578536,1665.9005726826094,-1.0,0.9999999999999892
-220.22559999999996,STOP_SAME,0,2020-03-06 15:22:00,2020-03-06 15:23:00,1673.4138454144668,1662.1237273689537,-1.0,0.9999999999999986
-215.82108799999992,STOP,4,2020-03-09 03:16:00,2020-03-09 04:22:00,1683.0705891633174,1670.1574604959392,-1.0,1.0000000000000075
-211.50466623999995,STOP,91,2020-03-09 05:29:00,2020-03-10 05:08:00,1671.0287920184803,1656.9668044495756,-1.0,0.9999999999999946
-207.27457291519994,STOP,2,2020-03-11 14:34:00,2020-03-11 15:14:00,1655.6573775836591,1647.2728914450438,-1.0,1.0000000000000078
-203.12908145689596,STOP,8,2020-03-11 17:00:00,2020-03-11 19:01:00,1645.6084571299796,1636.2111331366616,-1.0,0.9999999999999925
-199.066499827758,STOP_SAME,0,2020-03-13 15:45:00,2020-03-13 15:45:00,1563.6853463223126,1550.6527123747906,-1.0,1.0000000000000053
-195.08516983120285,STOP,21,2020-03-17 01:07:00,2020-03-17 06:16:00,1495.640080708959,1483.2141156512462,-1.0,1.000000000000001
-191.18346643457878,STOP_SAME,0,2020-03-17 09:45:00,2020-03-17 09:46:00,1479.7585149209347,1470.7995414822376,-1.0,1.0000000000000067
-187.3597971058872,STOP,3,2020-03-17 10:00:00,2020-03-17 10:56:00,1478.1107828329032,1469.1147580661411,-1.0,0.9999999999999888
-183.61260116376943,STOP_SAME,0,2020-03-18 05:46:00,2020-03-18 05:52:00,1522.7491917720236,1514.5742501601612,-1.0,1.0000000000000095
-179.94034914049405,STOP_SAME,0,2020-03-18 06:00:00,2020-03-18 06:07:00,1521.4043812722632,1512.923186740994,-1.0,1.0000000000000129
-176.34154215768416,STOP_SAME,0,2020-03-18 06:15:00,2020-03-18 06:25:00,1519.9247522894148,1511.4626174847092,-1.0,0.9999999999999868
-172.81471131453048,STOP,1,2020-03-18 07:17:00,2020-03-18 07:40:00,1514.7960708007136,1505.6978672389382,-1.0,1.000000000000004
-169.3584170882399,STOP_SAME,0,2020-03-18 08:00:00,2020-03-18 08:00:00,1509.340859360959,1499.366937082182,-1.0,0.9999999999999989
497.9137462394253,TARGET,85,2020-03-20 13:45:00,2020-03-23 12:13:00,1491.644697363305,1530.8401323511232,3.0,1.0000000000000042
527.7885710137928,TARGET,32,2020-03-24 14:34:00,2020-03-24 23:32:00,1634.623686163763,1691.4543047719014,3.000000000000012,0.9999999999999948
-186.48529509153943,STOP,3,2020-03-25 04:39:00,2020-03-25 05:25:00,1659.9506793016144,1648.3238831980327,-1.0,0.999999999999993
-182.75558918970862,STOP,8,2020-03-25 05:47:00,2020-03-25 07:46:00,1655.9312383222234,1642.7228013830725,-1.0,1.0000000000000069
-179.10047740591446,STOP,11,2020-03-25 08:45:00,2020-03-25 11:32:00,1644.6443790455457,1628.9132398628394,-1.0,1.0000000000000033
-175.51846785779617,STOP,46,2020-03-26 19:15:00,2020-03-27 07:49:00,1638.1225350345176,1624.696958341743,-1.0,0.999999999999993
-172.00809850064027,STOP,115,2020-03-30 05:12:00,2020-03-31 10:54:00,1619.5204872105603,1593.1472028270982,-1.0,0.9999999999999958
-168.56793653062746,STOP_SAME,0,2020-04-01 12:00:00,2020-04-01 12:04:00,1600.2692912808918,1596.2611943328577,-1.0,0.9999999999999774
-165.1965778000149,STOP_SAME,0,2020-04-01 13:30:00,2020-04-01 13:30:00,1595.6564696858559,1590.687549713142,-1.0,1.0000000000000109
-161.8926462440146,STOP_SAME,0,2020-04-01 16:47:00,2020-04-01 16:47:00,1595.3304265297174,1589.8436696930828,-1.0,0.9999999999999897
475.9643799574029,TARGET,52,2020-04-01 17:01:00,2020-04-02 07:12:00,1594.1491113382444,1612.9213683226533,3.0,0.9999999999999969
504.5222427548381,TARGET_SAME,0,2020-04-02 12:15:00,2020-04-02 12:15:00,1600.4771300329621,1613.2706133155405,2.9999999999999467,1.000000000000023
-178.2645257733791,STOP,23,2020-04-03 01:00:00,2020-04-03 06:47:00,1630.8264896634605,1625.8928649185905,-1.0,0.9999999999999806
-174.69923525791154,STOP,2,2020-04-03 08:36:00,2020-04-03 09:13:00,1628.5918815485195,1624.9697542303309,-1.0,0.9999999999999863
513.6157516582693,TARGET_SAME,0,2020-04-03 12:00:00,2020-04-03 12:00:00,1627.7843748535008,1640.2950441869275,3.000000000000055,0.9999999999999759
-181.4775655859187,STOP_SAME,0,2020-04-03 19:21:00,2020-04-03 19:21:00,1638.8865684142831,1633.9629733701786,-1.0,1.0000000000000033
533.544042822601,TARGET,34,2020-04-05 22:09:00,2020-04-06 06:40:00,1641.0210400309275,1656.0297711294559,3.0,0.9999999999999923
565.5566853919464,TARGET_SAME,0,2020-04-06 07:06:00,2020-04-06 07:06:00,1641.8386441115588,1654.052421564245,2.9999999999999436,1.0000000000000278
-199.83002883849127,STOP,2,2020-04-07 06:53:00,2020-04-07 07:28:00,1707.8480671791117,1701.5172617572243,-1.0,1.0000000000000036
-195.83342826172145,STOP_SAME,0,2020-04-07 07:25:00,2020-04-07 07:28:00,1707.3523138926962,1700.6212619994428,-1.0,1.0000000000000069
-191.91675969648702,STOP,1,2020-04-07 07:30:00,2020-04-07 07:49:00,1705.8140150522725,1698.5795157536818,-1.0,0.9999999999999983
-188.07842450255728,STOP_SAME,0,2020-04-07 07:45:00,2020-04-07 07:49:00,1704.8081478034871,1697.590373469826,-1.0,0.9999999999999889
-184.31685601250615,STOP,9,2020-04-08 14:24:00,2020-04-08 16:42:00,1681.0926897279583,1676.4199328692177,-1.0,0.9999999999999802
-180.63051889225602,STOP_SAME,0,2020-04-08 16:42:00,2020-04-08 16:42:00,1681.9283893343331,1677.3974359280141,-1.0,0.9999999999999931
531.0537255432414,TARGET,40,2020-04-08 20:00:00,2020-04-09 07:10:00,1680.2198924273387,1694.0243152430985,3.0000000000000493,0.9999999999999841
-187.6389830252757,STOP_SAME,0,2020-04-09 18:11:00,2020-04-09 18:11:00,1727.1695061026137,1718.896626870194,-1.0,1.0000000000000087
-183.88620336477018,STOP,4,2020-04-13 01:40:00,2020-04-13 02:40:00,1730.6739342585279,1724.109575073096,-1.0,1.0000000000000002
-180.20847929747478,STOP,3,2020-04-13 12:38:00,2020-04-13 13:15:00,1736.9244051339767,1732.4843723331226,-1.0,1.0000000000000093
-176.60430971152527,STOP_SAME,0,2020-04-14 00:31:00,2020-04-14 00:31:00,1760.3377741076097,1755.2306535291214,-1.0,0.9999999999999957
-173.07222351729476,STOP,2,2020-04-14 08:54:00,2020-04-14 09:16:00,1765.4771442947251,1760.562271627307,-1.0,0.9999999999999982
-169.6107790469489,STOP_SAME,0,2020-04-14 09:30:00,2020-04-14 09:32:00,1763.5332374740024,1758.4657860207747,-1.0,1.0000000000000053
-166.21856346600993,STOP,6,2020-04-14 09:47:00,2020-04-14 11:17:00,1763.0138201441882,1757.899741263622,-1.0,0.9999999999999896
-162.89419219668972,STOP_SAME,0,2020-04-15 22:00:00,2020-04-15 22:00:00,1739.7783766437497,1734.6458346549605,-1.0,0.9999999999999939
478.9089250582746,TARGET,30,2020-04-15 22:47:00,2020-04-16 06:18:00,1739.2213587752008,1755.1995483381152,3.0000000000000426,0.9999999999999833
-169.21448685392141,STOP,3,2020-04-16 12:42:00,2020-04-16 13:20:00,1754.0247741809808,1749.8558938077538,-1.0,0.9999999999999947
-165.83019711684298,STOP_SAME,0,2020-04-16 13:20:00,2020-04-16 13:20:00,1751.8299102972228,1746.5308539872274,-1.0,0.9999999999999803
487.5407795235122,TARGET,49,2020-04-20 18:16:00,2020-04-21 07:30:00,1702.0149885861128,1719.9221054260006,2.999999999999962,1.0000000000000178
-172.26440876497637,STOP,1,2020-04-22 12:00:00,2020-04-22 12:19:00,1711.416468086699,1704.9316035572783,-1.0,0.9999999999999922
-168.81912058967683,STOP_SAME,0,2020-04-22 12:18:00,2020-04-22 12:19:00,1710.83059016625,1704.1599688633003,-1.0,0.9999999999999928
496.3282145336498,TARGET,4,2020-04-23 13:11:00,2020-04-23 14:04:00,1742.9529709894716,1762.3789600455852,3.0,0.9999999999999932
-175.3693024685563,STOP,1,2020-04-24 13:50:00,2020-04-24 14:02:00,1747.8786984777753,1740.7188946019983,-1.0,0.9999999999999855
-171.86191641918518,STOP,21,2020-04-29 07:55:00,2020-04-29 13:14:00,1717.31607070398,1710.435960429414,-1.0,0.9999999999999944
-168.42467809080148,STOP_SAME,0,2020-04-30 12:37:00,2020-04-30 12:42:00,1722.1492003450705,1714.3276796384587,-1.0,1.000000000000003
-165.05618452898543,STOP_SAME,0,2020-04-30 12:45:00,2020-04-30 12:45:00,1719.911574466612,1710.7861297953307,-1.0,0.9999999999999988
-161.75506083840568,STOP_SAME,0,2020-04-30 13:00:00,2020-04-30 13:09:00,1719.0549358694582,1709.630763431741,-1.0,1.0000000000000109
-158.5199596216376,STOP,10,2020-04-30 13:15:00,2020-04-30 15:58:00,1717.2730437361463,1707.565079920315,-1.0,1.000000000000003
466.0486812876179,TARGET,134,2020-05-04 12:35:00,2020-05-06 00:05:00,1705.0642702383902,1736.0079344909677,3.0000000000000218,0.9999999999999925
-164.67053405495722,STOP,82,2020-05-08 12:49:00,2020-05-11 10:26:00,1712.9867465515351,1696.038864204224,-1.0,0.9999999999999971
-161.37712337385807,STOP,279,2020-05-18 13:38:00,2020-05-21 14:20:00,1748.0041096500956,1723.9752216377158,-1.0,0.9999999999999954
474.44874271914273,TARGET,9,2020-05-29 13:19:00,2020-05-29 15:41:00,1725.3687362951543,1771.027013141727,3.0,1.0000000000000016
-167.63855576076378,STOP,6,2020-06-02 15:28:00,2020-06-02 16:58:00,1736.6384778771296,1721.4531312935644,-1.0,0.9999999999999951
492.8573539366455,TARGET,10,2020-06-16 12:30:00,2020-06-16 15:09:00,1722.1507210468378,1765.394925989432,3.0,1.0000000000000018
522.4287951728451,TARGET,517,2020-07-28 03:07:00,2020-08-04 17:21:00,1929.4891828719428,2057.876345297105,3.0000000000000053,0.9999999999999982
553.7745228832149,TARGET,82,2020-08-12 19:58:00,2020-08-13 17:20:00,1913.0721416717306,2000.565618721844,3.0,0.9999999999999982
