pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
558.6132537791754,TARGET,119,2020-01-06 15:41:00,2020-01-07 23:24:00,1565.1144348391267,1611.162170827632,2.7930662688958767
591.0594656626675,TARGET,92,2020-02-25 20:59:00,2020-02-26 20:50:00,1635.699239806569,1685.2520123423426,2.7989445747106685
594.7671307451776,TARGET,46,2020-03-04 07:15:00,2020-03-04 18:51:00,1633.9502817885489,1663.6760760502787,2.667195467128258
-350.9910790723191,STOP_SAME,0,2020-03-06 15:23:00,2020-03-06 15:27:00,1667.3716332594108,1655.6385827407182,-1.4942861624291512
-308.62147914365625,STOP,91,2020-03-09 05:29:00,2020-03-10 05:08:00,1671.0287920184803,1655.3098376451258,-1.3543812999189957
-385.3977620942952,STOP,2,2020-03-11 14:41:00,2020-03-11 15:14:00,1653.9226943290796,1645.5762459148204,-1.7384021958260292
-325.9409222666549,STOP,8,2020-03-11 17:00:00,2020-03-11 19:01:00,1645.6084571299796,1634.5749220035248,-1.5231696295419666
-307.70106645333067,STOP,4,2020-03-13 13:56:00,2020-03-13 14:55:00,1575.4132189194736,1564.1082135412607,-1.483112760289716
-273.3521444352493,STOP_SAME,0,2020-03-13 15:45:00,2020-03-13 15:45:00,1563.6853463223126,1549.102059662416,-1.3578279062496261
-263.48052129409484,STOP,31,2020-03-17 01:58:00,2020-03-17 09:33:00,1493.006576610483,1478.6350311592203,-1.345326829433603
-284.6008113669663,STOP_SAME,0,2020-03-17 09:45:00,2020-03-17 09:46:00,1479.7585149209347,1469.3287419407557,-1.493347460910295
-275.6218967850948,STOP,3,2020-03-17 10:00:00,2020-03-17 10:56:00,1478.1107828329032,1467.6456433080748,-1.4907580068608477
-279.2191911847235,STOP_SAME,0,2020-03-18 05:46:00,2020-03-18 05:52:00,1522.7491917720236,1513.0596759100013,-1.5566257636922414
-266.93810025976717,STOP_SAME,0,2020-03-18 06:00:00,2020-03-18 06:07:00,1521.4043812722632,1511.410263554253,-1.5359784892102273
-258.8536587750669,STOP_SAME,0,2020-03-18 06:15:00,2020-03-18 06:25:00,1519.9247522894148,1509.9511548672242,-1.5366658212672262
-244.4734780329505,STOP,1,2020-03-18 07:17:00,2020-03-18 07:40:00,1514.7960708007136,1504.1921693716993,-1.4973164291928043
-229.94895093978113,STOP_SAME,0,2020-03-18 08:00:00,2020-03-18 08:00:00,1509.340859360959,1497.8675701450998,-1.4518358215180318
425.78114808299927,TARGET,85,2020-03-20 13:45:00,2020-03-23 12:13:00,1491.644697363305,1530.8401323511232,2.768660444973721
460.8081663094488,TARGET,30,2020-03-24 14:56:00,2020-03-24 23:26:00,1624.0481004535277,1685.8025165852778,2.839209040047703
-244.773741893241,STOP,3,2020-03-25 04:38:00,2020-03-25 05:25:00,1660.0233323103664,1646.773020233342,-1.4271043358330702
-228.9362310036434,STOP,8,2020-03-25 05:47:00,2020-03-25 07:46:00,1655.9312383222234,1641.0800785816896,-1.3739832457877978
-212.52623134992623,STOP,11,2020-03-25 08:45:00,2020-03-25 11:32:00,1644.6443790455457,1627.2843266229766,-1.311537638095467
-215.21773716311915,STOP,46,2020-03-26 19:15:00,2020-03-27 07:49:00,1638.1225350345176,1623.0722613834012,-1.363924162556762
-181.1452363901011,STOP,116,2020-03-30 04:56:00,2020-03-31 10:54:00,1620.1626836471423,1591.8992635471725,-1.1801862690353009
-325.64773362985915,STOP_SAME,0,2020-04-01 12:00:00,2020-04-01 12:04:00,1600.4874362713647,1594.8057958281354,-2.1729292497817436
-281.1237960082351,STOP_SAME,0,2020-04-01 13:30:00,2020-04-01 13:30:00,1595.6564696858559,1589.096862163429,-1.961062143843338
-255.70860090709118,STOP_SAME,0,2020-04-01 16:47:00,2020-04-01 16:47:00,1593.3331635449115,1586.1799696707367,-1.8565886516990546
329.8797016587224,TARGET,52,2020-04-01 17:01:00,2020-04-02 07:12:00,1594.1491113382444,1612.9213683226533,2.487477108001796
292.0429416398232,TARGET_SAME,0,2020-04-02 12:15:00,2020-04-02 12:15:00,1599.7014389669102,1610.3756285369095,2.0978021198369894
-288.56162333165224,STOP,23,2020-04-03 01:00:00,2020-04-03 06:47:00,1630.8264896634605,1624.2669720536717,-1.9893306805935562
-338.13997912928323,STOP,2,2020-04-03 08:36:00,2020-04-03 09:13:00,1628.1699975976974,1623.1299501088338,-2.4277120472048557
285.3636989754768,TARGET_SAME,0,2020-04-03 12:00:00,2020-04-03 12:00:00,1626.5983560421082,1638.166697588604,2.153353562260701
337.43342409189853,TARGET_SAME,0,2020-04-03 19:21:00,2020-04-03 19:26:00,1633.5675479113036,1651.2003778681624,2.441138841499099
-304.06912169665617,STOP_SAME,0,2020-04-06 02:25:00,2020-04-06 02:25:00,1641.7836087889775,1635.6676265456774,-2.0973677772759984
285.8425341301165,TARGET_SAME,0,2020-04-06 07:06:00,2020-04-06 07:06:00,1639.7703227933594,1650.2477913229277,2.0579733726238647
-262.128372245164,STOP,2,2020-04-07 06:53:00,2020-04-07 07:28:00,1707.682330162072,1699.6942373160725,-1.8126321385133517
-245.10996881745194,STOP_SAME,0,2020-04-07 07:25:00,2020-04-07 07:28:00,1707.3523138926962,1698.9206407374434,-1.7587067070079054
