pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
560.8232354719546,TARGET,92,2020-02-25 20:59:00,2020-02-26 20:50:00,1635.050460669417,1685.911661104633,2.8041161773597736
563.3555972558718,TARGET,46,2020-03-04 07:15:00,2020-03-04 18:51:00,1633.9502817885489,1663.6760760502787,2.6671954671282587
-337.2540893100668,STOP,8,2020-03-06 13:29:00,2020-03-06 15:23:00,1675.604239578536,1664.2346721099266,-1.5158606058986137
-311.2051089764173,STOP_SAME,0,2020-03-06 15:22:00,2020-03-06 15:23:00,1673.4138454144668,1660.4616036415848,-1.4425108007095182
-290.99128875925027,STOP,4,2020-03-09 03:16:00,2020-03-09 04:22:00,1683.0705891633174,1668.4873030354436,-1.3888844819908568
-275.880112322935,STOP,91,2020-03-09 05:29:00,2020-03-10 05:08:00,1671.0287920184803,1655.3098376451258,-1.3543812999189955
-315.14176955491115,STOP,2,2020-03-11 14:34:00,2020-03-11 15:14:00,1655.6573775836591,1645.625618553599,-1.5902038366777784
-292.25684640814166,STOP,8,2020-03-11 17:00:00,2020-03-11 19:01:00,1645.6084571299796,1634.5749220035248,-1.5231696295419666
-252.59535718150673,STOP_SAME,0,2020-03-13 15:45:00,2020-03-13 15:45:00,1563.6853463223126,1549.102059662416,-1.3578279062496261
-245.94295993301634,STOP,21,2020-03-17 01:07:00,2020-03-17 06:16:00,1495.640080708959,1481.730901535595,-1.3589729310502991
-262.91610477788083,STOP_SAME,0,2020-03-17 09:45:00,2020-03-17 09:46:00,1479.7585149209347,1469.3287419407557,-1.493347460910295
-254.6213243250062,STOP,3,2020-03-17 10:00:00,2020-03-17 10:56:00,1478.1107828329032,1467.6456433080748,-1.4907580068608477
-257.94452859398547,STOP_SAME,0,2020-03-18 05:46:00,2020-03-18 05:52:00,1522.7491917720236,1513.0596759100013,-1.5566257636922411
-246.59917587730217,STOP_SAME,0,2020-03-18 06:00:00,2020-03-18 06:07:00,1521.4043812722632,1511.410263554253,-1.5359784892102273
-239.1307155652849,STOP_SAME,0,2020-03-18 06:15:00,2020-03-18 06:25:00,1519.9247522894148,1509.9511548672242,-1.5366658212672262
-225.84620984458905,STOP,1,2020-03-18 07:17:00,2020-03-18 07:40:00,1514.7960708007136,1504.1921693716993,-1.4973164291928043
-212.4283560136912,STOP_SAME,0,2020-03-18 08:00:00,2020-03-18 08:00:00,1509.340859360959,1497.8675701450998,-1.451835821518032
393.3394300745473,TARGET,85,2020-03-20 13:45:00,2020-03-23 12:13:00,1491.644697363305,1530.8401323511232,2.768660444973721
423.4804483559623,TARGET,32,2020-03-24 14:34:00,2020-03-24 23:32:00,1634.623686163763,1691.4543047719014,2.8244215140149933
-225.91174308884126,STOP,3,2020-03-25 04:39:00,2020-03-25 05:25:00,1659.9506793016144,1646.6755593148343,-1.4261664243245913
-211.43769315702534,STOP,8,2020-03-25 05:47:00,2020-03-25 07:46:00,1655.9312383222234,1641.0800785816896,-1.3739832457877976
-196.28197727807253,STOP,11,2020-03-25 08:45:00,2020-03-25 11:32:00,1644.6443790455457,1627.2843266229766,-1.3115376380954675
-198.76776023066765,STOP,46,2020-03-26 19:15:00,2020-03-27 07:49:00,1638.1225350345176,1623.0722613834012,-1.3639241625567622
-167.57969626401598,STOP,115,2020-03-30 05:12:00,2020-03-31 10:54:00,1619.5204872105603,1591.5540556242709,-1.182162436646477
-303.8521455145619,STOP_SAME,0,2020-04-01 12:00:00,2020-04-01 12:04:00,1600.2692912808918,1594.6649331385247,-2.1953791240259077
-259.50397059125385,STOP_SAME,0,2020-04-01 13:30:00,2020-04-01 13:30:00,1595.6564696858559,1589.096862163429,-1.9610621438433378
-237.74725491065107,STOP_SAME,0,2020-04-01 16:47:00,2020-04-01 16:47:00,1595.3304265297174,1588.2538260233896,-1.869990791349471
304.42553390614364,TARGET,52,2020-04-01 17:01:00,2020-04-02 07:12:00,1594.1491113382444,1612.9213683226533,2.487477108001796
288.5982188080554,TARGET_SAME,0,2020-04-02 12:15:00,2020-04-02 12:15:00,1600.4771300329621,1613.2706133155405,2.2463941979606483
-267.05516182998394,STOP,23,2020-04-03 01:00:00,2020-04-03 06:47:00,1630.8264896634605,1624.2669720536717,-1.9893306805935558
-302.459753459254,STOP,2,2020-04-03 08:36:00,2020-04-03 09:13:00,1628.5918815485195,1623.3447844761006,-2.3464204849358423
272.2837164687623,TARGET_SAME,0,2020-04-03 12:00:00,2020-04-03 12:00:00,1627.7843748535008,1640.2950441869275,2.216329838490191
-256.11830588495314,STOP_SAME,0,2020-04-03 19:21:00,2020-04-03 19:21:00,1638.8865684142831,1632.3290103968084,-1.996259543736177
288.3534659667133,TARGET,34,2020-04-05 22:09:00,2020-04-06 06:40:00,1641.0210400309275,1656.0297711294559,2.3409734394901007
282.4448550924924,TARGET_SAME,0,2020-04-06 07:06:00,2020-04-06 07:06:00,1641.8386441115588,1654.052421564245,2.190449209073165
-243.21371275082834,STOP,2,2020-04-07 06:53:00,2020-04-07 07:28:00,1707.8480671791117,1699.815744495467,-1.8070349241453592
-228.15425567440897,STOP_SAME,0,2020-04-07 07:25:00,2020-04-07 07:28:00,1707.3523138926962,1698.9206407374434,-1.7587067070079052
-213.42338760955494,STOP,1,2020-04-07 07:30:00,2020-04-07 07:49:00,1705.8140150522725,1696.8809362379282,-1.7051316554882527
-206.2926569301878,STOP_SAME,0,2020-04-07 07:45:00,2020-04-07 07:49:00,1704.8081478034871,1695.892783096356,-1.7063522726933997
