symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple,stop_dist_atr
GOLD,21.90210526315774,TARGET_SAME,0,2020-01-02 13:18:00,2020-01-02 13:20:00,1532.9,1544.3000000000002,1.095105263157887,0.585761196505062
SILVER,12.211730157894342,TARGET_SAME,0,2020-01-02 13:15:00,2020-01-02 13:25:00,18.02,18.08,0.5974999999999808,1.1895559777149793
SILVER,-26.28531229149948,STOP,4,2020-01-02 13:46:00,2020-01-02 14:59:00,18.2,17.982,-1.2709100000000044,4.5221800847470615
GOLD,-23.597133186576635,STOP,14,2020-01-02 13:57:00,2020-01-02 17:21:00,1558.5,1524.2742,-1.1409349908256847,2.3962917865522937
SILVER,-72.982676815482,STOP_SAME,0,2020-01-02 18:04:00,2020-01-02 18:10:00,18.07,18.031950000000002,-3.707597499999997,0.19284647745914532
SILVER,-51.14653132046925,STOP,2,2020-01-03 00:00:00,2020-01-03 00:39:00,18.09,18.04194,-2.806397999999879,0.6496696640578554
GOLD,22.779454121000434,TARGET,17,2020-01-02 20:03:00,2020-01-03 01:32:00,1541.3,1559.8999999999996,1.2499032258064398,0.5137727607780916
GOLD,18.46469040222613,TARGET_SAME,0,2020-01-03 01:30:00,2020-01-03 01:32:00,1539.5,1549.6999999999998,1.0457058823529217,0.5957084539643163
SILVER,-24.557713056098034,STOP,71,2020-01-03 01:45:00,2020-01-03 19:40:00,18.22,18.05193,-1.3622795333333475,1.436550462852612
SILVER,-37.56736455376045,STOP,1,2020-01-06 06:15:00,2020-01-06 06:39:00,18.498479999999997,18.431549999999998,-2.142327351485228,0.5267611155266674
SILVER,12.784696503007233,TARGET,12,2020-01-06 10:18:00,2020-01-06 13:29:00,18.42,18.495000000000005,0.7617000000000458,0.9886464524669162
SILVER,-26.4243969551439,STOP_SAME,0,2020-01-06 15:17:00,2020-01-06 15:22:00,18.43,18.31167,-1.5507166999999806,2.063119264438772
SILVER,16.15663089960981,TARGET,2,2020-01-07 13:47:00,2020-01-07 14:20:00,18.2,18.305,0.9785000000000023,1.633078254257913
SILVER,-29.97833690342771,STOP,1,2020-01-07 14:47:00,2020-01-07 15:00:00,18.27,18.1818,-1.78074,1.0075772207812304
SILVER,-25.127501520437615,STOP_SAME,0,2020-01-07 15:46:00,2020-01-07 15:52:00,18.33,18.21177,-1.5477177000000022,0.8192676441336705
SILVER,-59.17960173959338,STOP_SAME,0,2020-01-07 21:30:00,2020-01-07 21:30:00,18.43,18.39159,-3.761579500000028,0.3789792368077243
GOLD,25.2718592757882,TARGET,262,2020-01-03 01:54:00,2020-01-07 23:24:00,1565.0,1613.6000000000001,1.4018950617283954,2.2650647712249232
SILVER,15.08373254325624,TARGET,2,2020-01-07 21:46:00,2020-01-07 23:23:00,18.47,18.589999999999996,1.03674999999999,1.477795948511583
GOLD,19.95610632643233,TARGET_SAME,0,2020-01-07 23:18:00,2020-01-07 23:24:00,1591.6,1615.6,1.29955,1.0183407627634118
