symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
GOLD,566.5006711409397,TARGET,63,2013-07-08 08:23:00,2013-07-10 23:00:00,1225.5,1270.2000000000003,2.8325033557046986
GOLD,-340.1752078774645,STOP,9,2013-07-11 12:30:00,2013-07-11 14:53:00,1285.2839999999999,1278.5202,-1.7008760393873226
GOLD,-282.20669787234226,STOP,4,2013-07-16 14:31:00,2013-07-16 15:49:00,1294.6,1283.9148,-1.4110334893617114
SILVER,-368.7281795266121,STOP,1,2013-07-16 19:30:00,2013-07-17 07:16:00,19.98,19.89009,-1.854001285714274
GOLD,513.6824239614318,TARGET,28,2013-07-18 14:55:00,2013-07-22 01:31:00,1288.1869,1312.7475999999997,2.6823053292454992
SILVER,201.4662179265816,TARGET,3,2013-07-19 16:59:00,2013-07-22 01:35:00,19.45,19.509999999999998,1.0519999999999585
SILVER,-230.06696410256444,STOP,210,2013-07-22 01:35:00,2013-07-31 15:31:00,19.81,19.40058,-1.150334820512822
GOLD,-234.3278273127754,STOP,247,2013-07-22 01:31:00,2013-08-02 05:30:00,1314.3,1290.3084,-1.171639136563877
GOLD,-625.7823319317051,STOP_SAME,0,2013-08-02 17:15:00,2013-08-02 17:29:00,1312.2,1309.0896,-3.1842720000000955
GOLD,336.3150547437724,TARGET,5,2013-08-07 19:30:00,2013-08-08 04:16:00,1286.2,1292.8000000000002,1.8277272727272966
GOLD,478.5648548305004,TARGET,12,2013-08-08 12:26:00,2013-08-08 15:15:00,1293.0,1308.8999999999999,2.509075471698109
GOLD,449.65142857142854,TARGET,28,2013-08-09 09:45:00,2013-08-11 22:02:00,1310.3,1320.8,2.2482571428571427
SILVER,-298.6133384615349,STOP,2,2013-08-13 15:03:00,2013-08-13 15:30:00,21.46,21.30867,-1.4930666923076745
GOLD,553.8896551724134,TARGET,136,2013-08-11 22:35:00,2013-08-15 16:50:00,1319.8,1354.5999999999997,2.7694482758620667
SILVER,-286.3837625,STOP,24,2013-08-16 16:09:00,2013-08-19 14:02:00,23.15,22.96701,-1.4319188125
GOLD,-247.61907209302257,STOP,35,2013-08-16 18:15:00,2013-08-20 05:43:00,1377.0,1358.4402,-1.2380953604651128
GOLD,-390.39239534883603,STOP,17,2013-08-20 13:31:00,2013-08-21 08:46:00,1367.8,1362.1365,-1.9519619767441803
SILVER,-318.6424039024639,STOP,1,2013-08-21 15:07:00,2013-08-21 15:18:00,23.05,22.917060000000003,-1.6264278181818073
SILVER,-321.0414520587357,STOP,6,2013-08-22 13:45:00,2013-08-22 15:25:00,23.2,23.076900000000002,-1.6937690000000092
SILVER,407.87331919589656,TARGET,5,2013-08-23 12:48:00,2013-08-23 14:04:00,23.09,23.269999999999996,2.227333333333317
SILVER,530.9639552552408,TARGET,14,2013-08-23 14:03:00,2013-08-23 17:36:00,23.22,23.84999999999999,2.77585714285714
GOLD,-313.2136675675643,STOP_SAME,0,2013-08-25 23:30:00,2013-08-25 23:32:00,1401.7,1392.9057,-1.5660683378378215
GOLD,-218.42916900304945,STOP,12,2013-08-27 13:59:00,2013-08-27 18:06:00,1452.3509,1414.1843999999999,-1.1165178349373768
GOLD,-431.2916924934753,STOP,5,2013-08-28 12:09:00,2013-08-28 13:21:00,1425.0,1420.1784,-2.2549348235293483
SILVER,-231.78454198902608,STOP,98,2013-08-26 13:50:00,2013-08-29 05:52:00,24.29,23.876099999999997,-1.1847848717948746
SILVER,-222.67452844406318,STOP,22,2013-09-03 13:01:00,2013-09-04 05:00:00,24.46,24.14583,-1.2509511379310407
SILVER,-587.3311604348623,STOP,6,2013-09-06 18:36:00,2013-09-09 07:08:00,23.87,23.81616,-3.3842053333332385
GOLD,-364.17805061714785,STOP,7,2013-09-06 18:30:00,2013-09-09 10:48:00,1390.1888,1385.0136,-2.098395903716296
SILVER,-221.11600011416908,STOP,27,2013-09-11 12:16:00,2013-09-12 06:44:00,23.1,22.917060000000003,-1.4309816249999896
GOLD,-173.97524967971952,STOP,48,2013-09-16 02:50:00,2013-09-16 20:17:00,1332.0,1305.8928,-1.159076322580644
GOLD,388.4319756720719,TARGET,3,2013-09-18 17:15:00,2013-09-18 18:00:00,1304.0,1326.5,2.6492666666666667
SILVER,-185.67215435595517,STOP,39,2013-09-19 12:23:00,2013-09-20 07:35:00,23.2,22.837139999999998,-1.2026386470588277
SILVER,-195.37491566929194,STOP,13,2013-09-23 15:53:00,2013-09-23 19:41:00,21.91,21.66831,-1.296674136363636
SILVER,-178.4573947915929,STOP,60,2013-09-25 14:56:00,2013-09-27 00:26:00,21.8,21.4785,-1.2159283333333315
GOLD,-179.22516054487863,STOP,411,2013-09-18 18:00:00,2013-10-01 12:30:00,1320.8194999999998,1295.2035,-1.1608800756594484
GOLD,-414.2092445710074,STOP,1,2013-10-03 08:40:00,2013-10-03 09:18:00,1313.0,1309.689,-2.966844499999961
GOLD,-194.46850764733068,STOP,4,2013-10-04 12:33:00,2013-10-04 13:30:00,1323.6222999999998,1314.0846000000001,-1.4807787237147887
SILVER,-412.0434176239633,STOP,1,2013-10-07 20:33:00,2013-10-08 00:58:00,22.36,22.307669999999998,-3.2332556666665884
GOLD,-219.299174582574,STOP,18,2013-10-07 17:06:00,2013-10-08 12:15:00,1325.6,1318.7799,-1.7208145272727113
GOLD,-195.93210208979022,STOP,36,2013-10-15 18:15:00,2013-10-16 13:53:00,1275.8,1269.1296,-1.7065425185185565
SILVER,-163.54541653411928,STOP,3,2013-10-16 13:00:00,2013-10-16 14:10:00,21.33,21.15882,-1.4244588000000111
GOLD,299.44108922832424,TARGET,15,2013-10-17 07:49:00,2013-10-17 12:21:00,1286.4851999999998,1322.4407999999994,2.7823210292694296
GOLD,-175.71225870177085,STOP,29,2013-10-17 15:36:00,2013-10-18 13:27:00,1320.6192999999998,1312.0866,-1.5466050586622166
GOLD,-161.7808506467471,STOP,2,2013-10-21 07:46:00,2013-10-21 10:05:00,1324.0227,1314.2844,-1.4694346349745173
SILVER,-198.02449136123943,STOP,1,2013-10-23 01:02:00,2013-10-23 02:56:00,22.81,22.70727,-1.853090875000009
SILVER,-143.90282239551516,STOP,77,2013-10-23 12:30:00,2013-10-25 06:32:00,22.7,22.50747,-1.3984557058823557
GOLD,294.8505268594301,TARGET,166,2013-10-22 12:30:00,2013-10-25 17:03:00,1322.4210999999998,1355.7843999999993,2.759178003974423
GOLD,271.99128248749224,TARGET,11,2013-10-28 12:07:00,2013-10-28 14:49:00,1351.7,1370.6,2.567888888888885
GOLD,-124.67342380869287,STOP,24,2013-10-28 14:49:00,2013-10-29 07:42:00,1382.1,1346.652,-1.119552844574779
SILVER,-138.36913084883776,STOP,55,2013-10-28 02:00:00,2013-10-29 07:45:00,22.62,22.377599999999997,-1.3063527272727289
SILVER,-155.08190324436785,STOP,9,2013-11-01 16:40:00,2013-11-04 01:02:00,21.94192,21.778200000000002,-1.4616693912063095
GOLD,-174.15596838715953,STOP,30,2013-11-04 11:49:00,2013-11-05 08:05:00,1316.9,1309.8888,-1.690875228070187
GOLD,-137.476184733264,STOP,44,2013-11-06 08:58:00,2013-11-07 13:31:00,1319.3179999999998,1307.691,-1.3814701492537373
GOLD,-148.79481000003275,STOP,19,2013-11-13 13:15:00,2013-11-13 18:04:00,1277.7,1269.3293999999999,-1.5376942816901389
SILVER,-127.87468792030029,STOP,26,2013-11-14 15:46:00,2013-11-15 08:02:00,20.810789999999997,20.61936,-1.3634296504479269
GOLD,-142.42520649680287,STOP,83,2013-11-14 14:33:00,2013-11-18 13:04:00,1284.5,1275.8229,-1.5185706621621582
GOLD,-163.3951668700224,STOP,23,2013-11-19 14:45:00,2013-11-20 07:43:00,1276.5,1270.728,-1.8487173333333191
GOLD,-149.86436988467017,STOP,2,2013-11-22 02:31:00,2013-11-22 05:49:00,1246.2,1240.0587,-1.7607262653060896
GOLD,-128.48399325889935,STOP,27,2013-11-22 12:23:00,2013-11-25 00:42:00,1247.0,1239.1596000000002,-1.5646302424242362
GOLD,-135.3843159184683,STOP,67,2013-11-25 19:00:00,2013-11-27 16:43:00,1244.0,1237.4613,-1.7019172264151208
GOLD,-110.97103485109423,STOP,22,2013-12-03 15:47:00,2013-12-04 08:00:00,1223.2219999999998,1213.785,-1.4441750182437396
GOLD,-125.3106181374141,STOP_SAME,0,2013-12-06 13:41:00,2013-12-06 13:41:00,1234.233,1227.5711999999999,-1.6792939812258598
SILVER,-125.01142170262595,STOP,2,2013-12-06 16:17:00,2013-12-06 16:50:00,19.62,19.52046,-1.7335057499999733
GOLD,-93.54988872449786,STOP,15,2013-12-06 14:02:00,2013-12-06 18:25:00,1241.2399999999998,1227.5711999999999,-1.2972356270096577
SILVER,-127.84268677471042,STOP,4,2013-12-06 17:48:00,2013-12-06 19:18:00,19.57,19.4805,-1.8364357142857215
GOLD,165.11666902136463,TARGET,31,2013-12-09 19:29:00,2013-12-10 13:07:00,1238.2369999999999,1254.2479999999991,2.5329801386546547
GOLD,-142.44238029797725,STOP,4,2013-12-10 18:02:00,2013-12-10 19:22:00,1262.5,1257.741,-2.079783142857147
SILVER,-122.7937907899164,STOP_SAME,0,2013-12-10 20:16:00,2013-12-10 20:16:00,20.37,20.279700000000002,-1.8707099999999803
GOLD,142.44349854594688,TARGET_SAME,0,2013-12-10 20:32:00,2013-12-10 20:37:00,1262.4,1272.6000000000004,2.2544117647059023
SILVER,-96.9772373009494,STOP,13,2013-12-10 20:54:00,2013-12-11 07:39:00,20.4,20.24973,-1.4686133076923114
SILVER,-90.86216535113167,STOP,24,2013-12-13 14:43:00,2013-12-16 09:26:00,19.59,19.43055,-1.4176467857142774
GOLD,-133.4772815482223,STOP,1,2013-12-18 14:19:00,2013-12-18 14:42:00,1234.9336999999998,1230.4683,-2.143303955221668
SILVER,-118.9555369576645,STOP,7,2013-12-18 15:07:00,2013-12-18 16:52:00,19.96,19.8801,-1.9956683333332925
